,param_id,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,Hill_curve,Hill_curve,param_values,param_values,param_values,param_values,param_values
,param_id,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_20,conc_21,conc_22,Hill_coef,IC50,Vhalf,Kmax,Ku,n,halfmax
0,88,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,,0.841647532,0.043710659,-199.5,297.5411502,0.001046931,1,1
0,89,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,,0.861493688,0.030883937,-199.5,297.5411502,0.00174101,1,1
0,90,0,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,,0.888263123,0.021034043,-199.5,297.5411502,0.002895239,1,1
0,91,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,0.925168074,0.014016132,-199.5,297.5411502,0.004814681,1,1
0,92,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,0.964877206,0.00973359,-199.5,297.5411502,0.008006647,1,1
0,93,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,0.993056019,0.007696543,-199.5,297.5411502,0.013314775,1,1
0,94,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,1.002911921,0.00714539,-199.5,297.5411502,0.022142006,1,1
0,95,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,1.003109577,0.007132859,-199.5,297.5411502,0.036821383,1,1
0,96,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,1.003068043,0.007133647,-199.5,297.5411502,0.061232676,1,1
0,97,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,1.003033407,0.007134546,-199.5,297.5411502,0.101827803,1,1
0,98,0,1.00E-04,0.000316228,0.001,0.003162278,0.01,0.031622777,0.1,0.316227766,1,3.16227766,10,,,,,,,,,,,,1.003006743,0.007135271,-199.5,297.5411502,0.169336084,1,1
